Tour,Zeit,Turnier,BestOf,Runde,Spieler1,Spieler2
ATP,2026-09-02T15:00Z,US Open,,,Arthur Rinderknech,Jaume Munar
ATP,2026-09-02T15:00Z,US Open,,,Alex Michelsen,Brandon Nakashima
ATP,2026-09-02T15:00Z,US Open,,,Andrey Rublev,Daniel Merida
ATP,2026-09-02T15:00Z,US Open,,,Sebastian Gorzny,Daniil Medvedev
ATP,2026-09-02T16:30Z,US Open,,,Alex de Minaur,Andrea Guerrieri
ATP,2026-09-02T16:30Z,US Open,,,Botic Van De Zandschulp,Jan Choinski
ATP,2026-09-02T16:30Z,US Open,,,Michael Zheng,Fabian Marozsan
ATP,2026-09-02T16:30Z,US Open,,,Daniel Altmaier,Zachary Svajda
ATP,2026-09-02T16:30Z,US Open,,,Jacob Fearnley,Tomas Martin Etcheverry
ATP,2026-09-02T16:30Z,US Open,,,Ignacio Buse,Marcos Giron
ATP,2026-09-02T16:30Z,US Open,,,Benjamin Bonzi,Alex Molcan
ATP,2026-09-02T17:00Z,US Open,,,Bu Yunchaokete,Rafael Jodar
ATP,2026-09-02T17:00Z,US Open,,,Hubert Hurkacz,Ben Shelton
ATP,2026-09-02T18:00Z,US Open,,,Francesco Passaro,Jesper de Jong
ATP,2026-09-02T18:00Z,US Open,,,Carlos Taberner,Zizou Bergs
ATP,2026-09-02T18:30Z,US Open,,,Wu Yibing,James Duckworth
ATP,2026-09-02T18:30Z,US Open,,,Luca Van Assche,Denis Shapovalov
ATP,2026-09-02T19:30Z,US Open,,,Tommy Paul,Dino Prizmic
ATP,2026-09-02T19:30Z,US Open,,,Toby Samuel,Jiri Lehecka
ATP,2026-09-02T20:00Z,US Open,,,Mariano Navone,Matteo Berrettini
ATP,2026-09-02T20:00Z,US Open,,,Adrian Mannarino,Alexander Bublik
ATP,2026-09-02T20:30Z,US Open,,,Stefanos Tsitsipas,Lloyd Harris
ATP,2026-09-02T22:00Z,US Open,,,Kamil Majchrzak,Valentin Vacherot
ATP,2026-09-02T23:00Z,US Open,,,Frances Tiafoe,Rei Sakamoto
ATP,2026-09-03T00:30Z,US Open,,,Carlos Alcaraz,Jaime Faria
ATP,2026-09-03T04:00Z,US Open,,,Arthur Gea,TBD
ATP,2026-09-03T04:00Z,US Open,,,TBD,TBD
ATP,2026-09-03T04:00Z,US Open,,,Karen Khachanov,Felix Auger-Aliassime
ATP,2026-09-03T04:00Z,US Open,,,Quentin Halys,Alexander Zverev
ATP,2026-09-03T04:00Z,US Open,,,Alejandro Tabilo,Alexei Popyrin
ATP,2026-09-03T04:00Z,US Open,,,Lorenzo Musetti,Dane Sweeny
ATP,2026-09-03T04:00Z,US Open,,,Dalibor Svrcina,Luciano Darderi
ATP,2026-09-03T04:00Z,US Open,,,Francisco Cerundolo,Jan-Lennard Struff
ATP,2026-09-03T04:00Z,US Open,,,Marco Trungelliti,Alexander Blockx
ATP,2026-09-03T04:00Z,US Open,,,Flavio Cobolli,Tristan Schoolkate
ATP,2026-09-03T04:00Z,US Open,,,Jurij Rodionov,Jakub Mensik
ATP,2026-09-03T04:00Z,US Open,,,Mattia Bellucci,Taylor Fritz
ATP,2026-09-03T04:00Z,US Open,,,Learner Tien,Gael Monfils
ATP,2026-09-02T15:00Z,US Open,,,Sorana Cirstea,Diane Parry
ATP,2026-09-02T15:00Z,US Open,,,Leylah Fernandez,Mananchaya Sawangkaew
ATP,2026-09-02T15:00Z,US Open,,,Lucrezia Stefanini,Jasmine Paolini
ATP,2026-09-02T15:00Z,US Open,,,Taylah Preston,Taylor Townsend
ATP,2026-09-02T15:00Z,US Open,,,Diana Shnaider,Karolina Pliskova
ATP,2026-09-02T15:30Z,US Open,,,Sofia Kenin,Jessica Pegula
ATP,2026-09-02T16:30Z,US Open,,,Paula Badosa,Daria Kasatkina
ATP,2026-09-02T17:00Z,US Open,,,Catherine McNally,Emma Navarro
ATP,2026-09-02T17:00Z,US Open,,,Sloane Stephens,Marta Kostyuk
ATP,2026-09-02T18:00Z,US Open,,,Mayar Sherif,Nikola Bartunkova
ATP,2026-09-02T18:00Z,US Open,,,Magdalena Frech,Iva Jovic
ATP,2026-09-02T18:00Z,US Open,,,Francesca Jones,Magda Linette
ATP,2026-09-02T18:00Z,US Open,,,Jelena Ostapenko,Tatjana Maria
ATP,2026-09-02T18:30Z,US Open,,,Anna Kalinskaya,Wang Xinyu
ATP,2026-09-02T19:00Z,US Open,,,Karolina Muchova,Katie Boulter
ATP,2026-09-02T19:30Z,US Open,,,Kamilla Rakhimova,Oksana Selekhmeteva
ATP,2026-09-02T19:30Z,US Open,,,Ekaterina Alexandrova,Kimberly Birrell
ATP,2026-09-02T20:30Z,US Open,,,Donna Vekic,Ann Li
ATP,2026-09-02T21:00Z,US Open,,,Maya Joint,Elina Svitolina
ATP,2026-09-02T23:00Z,US Open,,,Polina Iatcenko,Aryna Sabalenka
ATP,2026-09-03T01:00Z,US Open,,,Linda Noskova,Lanlana Tararudee
ATP,2026-09-03T04:00Z,US Open,,,Nadia Podoroska,Iga Swiatek
ATP,2026-09-03T04:00Z,US Open,,,Marie Bouzkova,Harriet Dart
ATP,2026-09-03T04:00Z,US Open,,,Anna Bondar,Madison Keys
ATP,2026-09-03T04:00Z,US Open,,,Eva Lys,Mirra Andreeva
ATP,2026-09-03T04:00Z,US Open,,,Alexandra Eala,Oleksandra Oliynykova
ATP,2026-09-03T04:00Z,US Open,,,Himeno Sakatsume,Cristina Bucsa
ATP,2026-09-03T04:00Z,US Open,,,Coco Gauff,TBD
ATP,2026-09-03T04:00Z,US Open,,,Katerina Siniakova,Naomi Osaka
ATP,2026-09-03T04:00Z,US Open,,,Yulia Putintseva,Zheng Qinwen
ATP,2026-09-03T04:00Z,US Open,,,Leolia Jeanjean,Anastasia Potapova
ATP,2026-09-03T04:00Z,US Open,,,Elise Mertens,Maria Timofeeva
ATP,2026-09-03T04:00Z,US Open,,,Yuliia Starodubtseva,Maria Sakkari
ATP,2026-09-03T04:00Z,US Open,,,Amanda Anisimova,Lilli Tagger
ATP,2026-09-03T04:00Z,US Open,,,Elena Rybakina,Jessica Bouzas Maneiro
